GeneID	Muscle_GC	Muscle_MG
ENSMUSG00000002324.8	0,9,0	0,0,0
ENSMUSG00000002325.15	86,210,84	83,85,81
ENSMUSG00000002326.6	36,38,46	34,46,28
ENSMUSG00000002329.7	81,33,73	50,67,64
ENSMUSG00000002332.16	106,85,134	65,81,75
ENSMUSG00000002341.8	3,0,3	0,0,2
ENSMUSG00000002342.17	153,180,144	211,232,255
ENSMUSG00000002343.11	14,48,63	94,87,124
ENSMUSG00000002345.18	15,55,27	17,45,21
ENSMUSG00000002346.16	129,62,77	38,66,65
ENSMUSG00000002365.10	362,702,492	318,409,403
ENSMUSG00000002372.9	229,306,231	308,355,321
ENSMUSG00000002379.7	294,59,220	357,525,442
ENSMUSG00000002384.2	0,0,0	0,0,0
ENSMUSG00000002393.14	167,159,195	147,227,181
ENSMUSG00000002395.14	307,235,375	304,419,434
ENSMUSG00000002396.8	77,105,77	57,74,81
ENSMUSG00000002409.18	299,207,283	92,124,152
ENSMUSG00000002413.15	202,472,212	159,151,159
ENSMUSG00000002416.13	299,83,290.91	223,328,392
ENSMUSG00000002428.12	75,166,38	33,58,58
ENSMUSG00000002455.14	285,326,391	218,289,264
ENSMUSG00000002458.13	25,28,26	33,43,25
ENSMUSG00000002459.17	0,0,0	0,0,0
ENSMUSG00000002475.16	9,27,11	3,1,0
ENSMUSG00000002477.5	28,52,12.74	40.03,58.26,17.36
ENSMUSG00000002486.15	27,44,22	33,19,15
ENSMUSG00000002489.16	130,376,57	125,114,132
ENSMUSG00000002496.10	553,548,552	503,630,634
ENSMUSG00000002500.15	910,0,1203	518,838,900
ENSMUSG00000002504.15	598,483,457	265,442,472
ENSMUSG00000002524.17	336,458,409	352,472,427
ENSMUSG00000002546.16	380,700,536	401,579,582
ENSMUSG00000002550.16	120,443,118	92.97,175.22,172
ENSMUSG00000002565.16	6,78,20	3,5,2
ENSMUSG00000002578.17	3,31,19	6,4,2
ENSMUSG00000002580.7	45,81,55	30,70,75
ENSMUSG00000002588.13	31,173,8	1,9,6
ENSMUSG00000002602.16	1534,5313,1692	1187,1631,1047
ENSMUSG00000002603.15	189,625,209	287,296,237
ENSMUSG00000002608.8	183,294,301	249,337,294
ENSMUSG00000002617.14	38,42,2	16,11,13
ENSMUSG00000002625.9	180,201,194	141,133,155
ENSMUSG00000002633.4	0,0,0	0,0,0
ENSMUSG00000002635.11	39,37,79	69,60,79
ENSMUSG00000002658.9	86,121,115	166,193,190
ENSMUSG00000002660.8	78,104,113	117,175,146
ENSMUSG00000002661.14	34,12,27	43,65,43
ENSMUSG00000002664.2	0,0,0	0,0,0
ENSMUSG00000002668.8	21,1,7	9,2,5
ENSMUSG00000002679.14	22,40,15	22,24,27
ENSMUSG00000002688.8	135,196,117	37,62,67
ENSMUSG00000002699.13	7,35,11	22,23,18
ENSMUSG00000002718.14	204,192,172	538,563,612
ENSMUSG00000002728.14	85.48,91.43,70.91	196.39,222.39,224.27
ENSMUSG00000002731.6	44,40,33	13,24,34
ENSMUSG00000002732.14	36,105,70	20,28,43
ENSMUSG00000002733.8	141,157,63	124,155,152
ENSMUSG00000002741.9	234,299,360	353,434,480
ENSMUSG00000002748.7	870,1224,651	647,788,826
ENSMUSG00000002763.16	186,343,153	138,223,203
ENSMUSG00000002767.13	186,106,198	185,294,282
ENSMUSG00000002768.8	72,125,97	135,189,224
ENSMUSG00000002769.9	6,0,6	2,1,1
ENSMUSG00000002771.12	14,70,21	15,15,9
ENSMUSG00000002778.14	140,466,219	146,230,141
ENSMUSG00000002781.19	169,100,173	95,208,162
ENSMUSG00000002791.16	0,0,0	0,0,0
ENSMUSG00000002797.9	15,18,8	19,21,33
ENSMUSG00000002799.6	313,103,249	385,529,589
ENSMUSG00000002803.14	86,61,59	71,99,124
ENSMUSG00000002804.4	25,13,49	9,11,10
ENSMUSG00000002808.7	316,225,290	891,1309,1364
ENSMUSG00000002812.4	871,990,815	1241,1625,1647
ENSMUSG00000002814.15	61,89,38	45,76,71
ENSMUSG00000002820.6	166,129,172	204,335,294
ENSMUSG00000002825.8	22,49,14	39,35,42
ENSMUSG00000002831.13	7700,5760,4913	3665,4045,7711
ENSMUSG00000002833.11	179,309,257	183,210,185
ENSMUSG00000002835.9	35,23,37	34,51,70
ENSMUSG00000002844.9	137,196,209	172,232,199
ENSMUSG00000002845.14	60,137,80	94,95,76
ENSMUSG00000002846.9	78,55,81	127,202,209
ENSMUSG00000002847.7	38,192,42	37,51,30
ENSMUSG00000002870.8	53,17,33	95,112,147
ENSMUSG00000002871.14	128,185,130	213,189,181
ENSMUSG00000002881.14	249,288,211	166,200,203
ENSMUSG00000002885.14	480,531,338	450,483,493
ENSMUSG00000002897.5	76,188,55	58,63,78
ENSMUSG00000002900.16	817,866,602	569,601,734
ENSMUSG00000002908.17	51,25,30	36,53,43
ENSMUSG00000002910.11	160,284,170	33,62,165
ENSMUSG00000002930.6	0,0,0	0,0,0
ENSMUSG00000002944.15	3057,1425,1910	1068,1892,2083
ENSMUSG00000002948.19	404.76,453,428	340,432,355
ENSMUSG00000002949.15	176,121,245	265,327,389
ENSMUSG00000002957.11	605,1071,606	681,919.55,813
ENSMUSG00000002963.17	138,93,130	100,110,116
ENSMUSG00000002968.9	282,283,338	281,343,302
ENSMUSG00000002980.14	1059,537,506	630,1097,1200
ENSMUSG00000002981.10	429,456,402	515,731,692
ENSMUSG00000002983.17	73,148,79	187,157,124
ENSMUSG00000002984.17	193,168,247	399,520,525
ENSMUSG00000002985.16	2123,3794,1110	547,598,797
ENSMUSG00000002992.17	0,4,0	3,0,1
ENSMUSG00000002996.17	459,378,310	272,324,326
ENSMUSG00000002997.15	418,501,144	44,47,153
ENSMUSG00000003031.14	358,520,292	150,218,173
ENSMUSG00000003032.8	597,1584,554	572,402,297
ENSMUSG00000003033.15	157,152,137	172,193,197
ENSMUSG00000003037.16	114,253,96	130,129,150
